file_name,key_word,window,collocate_term,collocate_frequency,text_frequency,MI_score
Barclay_Ladies_1917,red,5,bloomed,2,1,9.893733236193917
Barclay_Ladies_1917,red,5,drooped,1,1,8.893733236193917
Barclay_Ladies_1917,red,5,floated,1,1,8.893733236193917
Barclay_Ladies_1917,red,5,xlix,1,1,8.893733236193917
Barclay_Ladies_1917,red,5,jerkin,2,2,8.893733236193917
Barclay_Ladies_1917,red,5,jerky,1,1,8.893733236193917
Barclay_Ladies_1917,red,5,cavernous,1,1,8.893733236193917
Barclay_Ladies_1917,red,5,impudence,1,1,8.893733236193917
Barclay_Ladies_1917,red,5,banners,1,1,8.893733236193917
Barclay_Ladies_1917,red,5,magnificent,1,1,8.893733236193917
Barclay_Ladies_1917,red,5,flaming,1,1,8.893733236193917
Barclay_Ladies_1917,red,5,blood,9,12,8.478695736915073
Barclay_Ladies_1917,red,5,juice,2,3,8.308770735472761
Barclay_Ladies_1917,red,5,sparkling,1,2,7.893733236193917
Barclay_Ladies_1917,red,5,verity,2,4,7.893733236193917
Barclay_Ladies_1917,red,5,sparkled,1,2,7.893733236193917
Barclay_Ladies_1917,red,5,dipped,1,2,7.893733236193917
Barclay_Ladies_1917,red,5,intruding,1,2,7.893733236193917
Barclay_Ladies_1917,red,5,doublet,1,3,7.30877073547276
Barclay_Ladies_1917,red,5,beshrew,1,3,7.30877073547276
Barclay_Ladies_1917,red,5,grapes,1,3,7.30877073547276
Barclay_Ladies_1917,red,5,healthy,1,3,7.30877073547276
Barclay_Ladies_1917,red,5,throat,1,4,6.893733236193917
Barclay_Ladies_1917,red,5,banner,2,8,6.893733236193917
Barclay_Ladies_1917,red,5,flash,2,8,6.893733236193917
Barclay_Ladies_1917,red,5,bend,1,4,6.893733236193917
Barclay_Ladies_1917,red,5,dipping,1,4,6.893733236193917
Barclay_Ladies_1917,red,5,climbing,1,5,6.571805141306555
Barclay_Ladies_1917,red,5,gleam,1,5,6.571805141306555
Barclay_Ladies_1917,red,5,glowed,1,6,6.308770735472761
Barclay_Ladies_1917,red,5,trees,1,6,6.308770735472761
Barclay_Ladies_1917,red,5,hang,1,6,6.308770735472761
Barclay_Ladies_1917,red,5,limbs,1,7,6.086378314136313
Barclay_Ladies_1917,red,5,armour,1,7,6.086378314136313
Barclay_Ladies_1917,red,5,vain,2,14,6.086378314136313
Barclay_Ladies_1917,red,5,horizon,1,7,6.086378314136313
Barclay_Ladies_1917,red,5,wine,3,24,5.893733236193917
Barclay_Ladies_1917,red,5,rubies,1,8,5.893733236193917
Barclay_Ladies_1917,red,5,strike,1,8,5.893733236193917
Barclay_Ladies_1917,red,5,twice,1,8,5.893733236193917
Barclay_Ladies_1917,red,5,awaiting,1,9,5.723808234751605
Barclay_Ladies_1917,red,5,bold,1,9,5.723808234751605
Barclay_Ladies_1917,red,5,awe,1,9,5.723808234751605
Barclay_Ladies_1917,red,5,opposite,1,10,5.571805141306554
Barclay_Ladies_1917,red,5,chuckled,1,10,5.571805141306554
Barclay_Ladies_1917,red,5,deceived,1,11,5.434301617556621
Barclay_Ladies_1917,red,5,colour,2,23,5.370171280136905
Barclay_Ladies_1917,red,5,angel,1,12,5.308770735472761
Barclay_Ladies_1917,red,5,suit,1,12,5.308770735472761
Barclay_Ladies_1917,red,5,fair,2,25,5.249877046419193
Barclay_Ladies_1917,red,5,gazing,1,13,5.193293518052825
Barclay_Ladies_1917,red,5,faded,1,13,5.193293518052825
Barclay_Ladies_1917,red,5,red,2,26,5.193293518052825
Barclay_Ladies_1917,red,5,tongue,1,13,5.193293518052825
Barclay_Ladies_1917,red,5,wings,2,27,5.138845734030449
Barclay_Ladies_1917,red,5,sun,2,28,5.086378314136313
Barclay_Ladies_1917,red,5,fully,1,15,4.986842640585399
Barclay_Ladies_1917,red,5,comes,1,15,4.986842640585399
Barclay_Ladies_1917,red,5,leaning,1,15,4.986842640585399
Barclay_Ladies_1917,red,5,shining,1,16,4.893733236193917
Barclay_Ladies_1917,red,5,purple,1,16,4.893733236193917
Barclay_Ladies_1917,red,5,goblet,1,17,4.806270394943578
Barclay_Ladies_1917,red,5,brown,1,17,4.806270394943578
Barclay_Ladies_1917,red,5,breast,3,56,4.671340814857469
Barclay_Ladies_1917,red,5,pale,1,19,4.645805722750332
Barclay_Ladies_1917,red,5,round,2,39,4.608331017331668
Barclay_Ladies_1917,red,5,rose,4,84,4.501415813415157
Barclay_Ladies_1917,red,5,finger,1,21,4.501415813415157
Barclay_Ladies_1917,red,5,ah,2,43,4.467468481491819
Barclay_Ladies_1917,red,5,keeping,1,24,4.308770735472761
Barclay_Ladies_1917,red,5,dropped,1,24,4.308770735472761
Barclay_Ladies_1917,red,5,rome,1,25,4.249877046419193
Barclay_Ladies_1917,red,5,below,1,26,4.193293518052825
Barclay_Ladies_1917,red,5,presence,2,53,4.165812781630717
Barclay_Ladies_1917,red,5,stone,2,56,4.086378314136313
Barclay_Ladies_1917,red,5,robin,2,58,4.035752241066345
Barclay_Ladies_1917,red,5,little,5,152,3.9677338176376944
Barclay_Ladies_1917,red,5,cross,2,63,3.9164533126940007
Barclay_Ladies_1917,red,5,sunset,1,33,3.8493391168354636
Barclay_Ladies_1917,red,5,honour,1,36,3.723808234751605
Barclay_Ladies_1917,red,5,wall,1,37,3.6842798705649673
Barclay_Ladies_1917,red,5,like,2,76,3.6458057227503318
Barclay_Ladies_1917,red,5,deep,1,45,3.401880139864242
Barclay_Ladies_1917,red,5,almost,1,48,3.308770735472761
Barclay_Ladies_1917,red,5,above,1,49,3.279023392078709
Barclay_Ladies_1917,red,5,saw,2,99,3.2643766161143075
Barclay_Ladies_1917,red,5,though,1,52,3.1932935180528252
Barclay_Ladies_1917,red,5,thy,3,163,3.129967582683996
Barclay_Ladies_1917,red,5,cloister,1,55,3.1123735226692575
Barclay_Ladies_1917,red,5,thine,1,59,3.011090186832076
Barclay_Ladies_1917,red,5,man,3,187,2.931801277027437
Barclay_Ladies_1917,red,5,high,1,70,2.7644502192489506
Barclay_Ladies_1917,red,5,two,1,80,2.571805141306555
Barclay_Ladies_1917,red,5,heard,1,84,2.501415813415157
Barclay_Ladies_1917,red,5,last,1,85,2.4843423000562157
Barclay_Ladies_1917,red,5,moment,1,97,2.2938203940067896
Barclay_Ladies_1917,red,5,after,1,109,2.125548911416991
Barclay_Ladies_1917,red,5,see,1,115,2.0482431852495417
Barclay_Ladies_1917,red,5,very,1,122,1.962995898631031
Barclay_Ladies_1917,red,5,still,1,126,1.9164533126940004
Barclay_Ladies_1917,red,5,a,15,2063,1.790095725915951
Barclay_Ladies_1917,red,5,what,1,139,1.77479216347041
Barclay_Ladies_1917,red,5,over,1,159,1.580850280909562
Barclay_Ladies_1917,red,5,lady,1,172,1.4674684814918193
Barclay_Ladies_1917,red,5,white,1,189,1.3314908119728448
Barclay_Ladies_1917,red,5,as,4,863,1.1405164870149622
