file_name,key_word,window,collocate_term,collocate_frequency,text_frequency,MI_score
Bennet_Helen_1910,jealous,5,disdainfully,1,1,9.58791142778149
Bennet_Helen_1910,jealous,5,youthful,1,1,9.58791142778149
Bennet_Helen_1910,jealous,5,flatter,1,1,9.58791142778149
Bennet_Helen_1910,jealous,5,try,5,9,8.739914521226542
Bennet_Helen_1910,jealous,5,trust,1,6,7.002948927060336
Bennet_Helen_1910,jealous,5,make,5,41,6.55228751805077
Bennet_Helen_1910,jealous,5,walked,1,9,6.417986426339179
Bennet_Helen_1910,jealous,5,noticed,1,11,6.128479809144194
Bennet_Helen_1910,jealous,5,jos,1,12,6.002948927060335
Bennet_Helen_1910,jealous,5,later,1,14,5.7805565057238875
Bennet_Helen_1910,jealous,5,point,1,15,5.681020832172973
Bennet_Helen_1910,jealous,5,imagine,1,15,5.681020832172973
Bennet_Helen_1910,jealous,5,added,1,16,5.587911427781491
Bennet_Helen_1910,jealous,5,exclaimed,1,21,5.195594005002731
Bennet_Helen_1910,jealous,5,replied,1,26,4.887471709640399
Bennet_Helen_1910,jealous,5,rather,1,28,4.7805565057238875
Bennet_Helen_1910,jealous,5,isn,1,29,4.729930432653919
Bennet_Helen_1910,jealous,5,lilian,1,31,4.633715117394616
Bennet_Helen_1910,jealous,5,me,5,165,4.543517308423039
Bennet_Helen_1910,jealous,5,m,2,91,4.080116787582795
Bennet_Helen_1910,jealous,5,yes,1,49,3.973201583666283
Bennet_Helen_1910,jealous,5,should,1,54,3.833023925618023
Bennet_Helen_1910,jealous,5,you,5,597,2.6882524014040485
Bennet_Helen_1910,jealous,5,did,1,128,2.587911427781491
Bennet_Helen_1910,jealous,5,can,1,139,2.4689703550579836
Bennet_Helen_1910,jealous,5,then,1,152,2.339983914337906
Bennet_Helen_1910,jealous,5,emanuel,1,157,2.293290678889864
Bennet_Helen_1910,jealous,5,this,1,164,2.230359423163408
Bennet_Helen_1910,jealous,5,they,1,174,2.1449679319327632
Bennet_Helen_1910,jealous,5,an,1,184,2.0643494717244786
Bennet_Helen_1910,jealous,5,she,3,789,1.548992438489189
Bennet_Helen_1910,jealous,5,to,5,1337,1.525055772575501
Bennet_Helen_1910,jealous,5,i,3,825,1.4846236193694693
Bennet_Helen_1910,jealous,5,t,1,298,1.3687429073193298
Bennet_Helen_1910,jealous,5,but,1,328,1.2303594231634079
Bennet_Helen_1910,jealous,5,at,1,370,1.0565299672651793
Bennet_Helen_1910,jealous,5,not,1,396,0.9585548077018817
Bennet_Helen_1910,jealous,5,as,1,425,0.8565923967564274
Bennet_Helen_1910,jealous,5,that,1,751,0.035242330267219624
Bennet_Helen_1910,jealous,5,it,1,784,-0.026798416333716747
Bennet_Helen_1910,jealous,5,and,2,1608,-0.06314026339743724
Bennet_Helen_1910,jealous,5,was,1,903,-0.23067074969936688
Bennet_Helen_1910,jealous,5,he,1,1259,-0.7101511399375251
Bennet_Helen_1910,jealous,5,the,1,2584,-1.7474789269124336
